ine_muni,ine_muni.n,viviendas_turisticas,plazas_turisticas,ine_prov,ine_prov.n,ine_ccaa,ine_ccaa.n,capital_prov
04013,Almería,578,2473,04,Almería,01,Andalucía,Sí
04068,Olula de Castro,0,0,04,Almería,01,Andalucía,No
04071,Padules,0,0,04,Almería,01,Andalucía,No
04073,Paterna del Río,0,0,04,Almería,01,Andalucía,No
04076,Purchena,3,13,04,Almería,01,Andalucía,No
04079,Roquetas de Mar,745,3356,04,Almería,01,Andalucía,No
04080,Santa Cruz de Marchena,0,0,04,Almería,01,Andalucía,No
04085,Somontín,1,4,04,Almería,01,Andalucía,No
04088,Tabernas,12,66,04,Almería,01,Andalucía,No
04002,Abrucena,2,10,04,Almería,01,Andalucía,No
04005,Alboloduy,1,6,04,Almería,01,Andalucía,No
04007,Alcolea,5,18,04,Almería,01,Andalucía,No
04009,Alcudia de Monteagud,0,0,04,Almería,01,Andalucía,No
04012,Alicún,1,4,04,Almería,01,Andalucía,No
04014,Almócita,0,0,04,Almería,01,Andalucía,No
04017,Arboleas,18,121,04,Almería,01,Andalucía,No
04018,Armuña de Almanzora,0,0,04,Almería,01,Andalucía,No
04023,Beires,1,6,04,Almería,01,Andalucía,No
04026,Benitagla,0,0,04,Almería,01,Andalucía,No
04028,Bentarique,0,0,04,Almería,01,Andalucía,No
04030,Canjáyar,1,3,04,Almería,01,Andalucía,No
04032,Carboneras,183,905,04,Almería,01,Andalucía,No
04034,Cóbdar,0,0,04,Almería,01,Andalucía,No
04035,Cuevas del Almanzora,124,691,04,Almería,01,Andalucía,No
04043,Felix,3,16,04,Almería,01,Andalucía,No
04046,Fondón,2,8,04,Almería,01,Andalucía,No
04048,"Gallardos, Los",7,49,04,Almería,01,Andalucía,No
04051,Huécija,0,0,04,Almería,01,Andalucía,No
04052,Huércal de Almería,5,12,04,Almería,01,Andalucía,No
04056,Laroya,1,4,04,Almería,01,Andalucía,No
04057,Láujar de Andarax,1,4,04,Almería,01,Andalucía,No
04060,Lucainena de las Torres,3,20,04,Almería,01,Andalucía,No
04066,Níjar,707,3534,04,Almería,01,Andalucía,No
04089,Taberno,1,4,04,Almería,01,Andalucía,No
04090,Tahal,2,10,04,Almería,01,Andalucía,No
04091,Terque,0,0,04,Almería,01,Andalucía,No
04092,Tíjola,1,7,04,Almería,01,Andalucía,No
04093,Turre,55,331,04,Almería,01,Andalucía,No
04094,Turrillas,0,0,04,Almería,01,Andalucía,No
04095,Uleila del Campo,2,10,04,Almería,01,Andalucía,No
04096,Urrácal,0,0,04,Almería,01,Andalucía,No
04097,Velefique,0,0,04,Almería,01,Andalucía,No
04098,Vélez-Blanco,8,31,04,Almería,01,Andalucía,No
04099,Vélez-Rubio,10,76,04,Almería,01,Andalucía,No
04100,Vera,891,4216,04,Almería,01,Andalucía,No
04101,Viator,1,5,04,Almería,01,Andalucía,No
04102,Vícar,40,188,04,Almería,01,Andalucía,No
04103,Zurgena,2,14,04,Almería,01,Andalucía,No
04901,"Tres Villas, Las",4,20,04,Almería,01,Andalucía,No
04902,"Ejido, El",129,633,04,Almería,01,Andalucía,No
04903,"Mojonera, La",0,0,04,Almería,01,Andalucía,No
04001,Abla,3,21,04,Almería,01,Andalucía,No
04003,Adra,25,126,04,Almería,01,Andalucía,No
04004,Albanchez,0,0,04,Almería,01,Andalucía,No
04006,Albox,14,73,04,Almería,01,Andalucía,No
04008,Alcóntar,2,26,04,Almería,01,Andalucía,No
04010,Alhabia,0,0,04,Almería,01,Andalucía,No
04011,Alhama de Almería,8,42,04,Almería,01,Andalucía,No
04015,Alsodux,0,0,04,Almería,01,Andalucía,No
04016,Antas,13,86,04,Almería,01,Andalucía,No
04019,Bacares,1,4,04,Almería,01,Andalucía,No
04020,Bayárcal,0,0,04,Almería,01,Andalucía,No
04021,Bayarque,0,0,04,Almería,01,Andalucía,No
04022,Bédar,23,129,04,Almería,01,Andalucía,No
04024,Benahadux,0,0,04,Almería,01,Andalucía,No
04027,Benizalón,0,0,04,Almería,01,Andalucía,No
04029,Berja,11,58,04,Almería,01,Andalucía,No
04031,Cantoria,6,44,04,Almería,01,Andalucía,No
04033,Castro de Filabres,0,0,04,Almería,01,Andalucía,No
04036,Chercos,1,10,04,Almería,01,Andalucía,No
04037,Chirivel,1,3,04,Almería,01,Andalucía,No
04038,Dalías,4,21,04,Almería,01,Andalucía,No
04041,Enix,11,47,04,Almería,01,Andalucía,No
04044,Fines,0,0,04,Almería,01,Andalucía,No
04045,Fiñana,3,19,04,Almería,01,Andalucía,No
04047,Gádor,0,0,04,Almería,01,Andalucía,No
04049,Garrucha,94,507,04,Almería,01,Andalucía,No
04050,Gérgal,0,0,04,Almería,01,Andalucía,No
04053,Huércal-Overa,23,119,04,Almería,01,Andalucía,No
