ine_muni,ine_muni.n,poblacion,values,ine_prov,ine_prov.n,ine_ccaa,ine_ccaa.n,capital_prov
02001,Abengibre,Total,761,02,Albacete,08,Castilla-La Mancha,No
02001,Abengibre,Hombres,365,02,Albacete,08,Castilla-La Mancha,No
02001,Abengibre,Mujeres,396,02,Albacete,08,Castilla-La Mancha,No
02002,Alatoz,Total,506,02,Albacete,08,Castilla-La Mancha,No
02002,Alatoz,Hombres,283,02,Albacete,08,Castilla-La Mancha,No
02002,Alatoz,Mujeres,223,02,Albacete,08,Castilla-La Mancha,No
02003,Albacete,Total,174336,02,Albacete,08,Castilla-La Mancha,Sí
02003,Albacete,Hombres,85214,02,Albacete,08,Castilla-La Mancha,Sí
02003,Albacete,Mujeres,89122,02,Albacete,08,Castilla-La Mancha,Sí
02004,Albatana,Total,679,02,Albacete,08,Castilla-La Mancha,No
02004,Albatana,Hombres,351,02,Albacete,08,Castilla-La Mancha,No
02004,Albatana,Mujeres,328,02,Albacete,08,Castilla-La Mancha,No
02005,Alborea,Total,664,02,Albacete,08,Castilla-La Mancha,No
02005,Alborea,Hombres,346,02,Albacete,08,Castilla-La Mancha,No
02005,Alborea,Mujeres,318,02,Albacete,08,Castilla-La Mancha,No
02006,Alcadozo,Total,647,02,Albacete,08,Castilla-La Mancha,No
02006,Alcadozo,Hombres,350,02,Albacete,08,Castilla-La Mancha,No
02006,Alcadozo,Mujeres,297,02,Albacete,08,Castilla-La Mancha,No
02007,Alcalá del Júcar,Total,1194,02,Albacete,08,Castilla-La Mancha,No
02007,Alcalá del Júcar,Hombres,640,02,Albacete,08,Castilla-La Mancha,No
02007,Alcalá del Júcar,Mujeres,554,02,Albacete,08,Castilla-La Mancha,No
02008,Alcaraz,Total,1324,02,Albacete,08,Castilla-La Mancha,No
02008,Alcaraz,Hombres,687,02,Albacete,08,Castilla-La Mancha,No
02008,Alcaraz,Mujeres,637,02,Albacete,08,Castilla-La Mancha,No
02009,Almansa,Total,24511,02,Albacete,08,Castilla-La Mancha,No
02009,Almansa,Hombres,12208,02,Albacete,08,Castilla-La Mancha,No
02009,Almansa,Mujeres,12303,02,Albacete,08,Castilla-La Mancha,No
02010,Alpera,Total,2261,02,Albacete,08,Castilla-La Mancha,No
02010,Alpera,Hombres,1170,02,Albacete,08,Castilla-La Mancha,No
02010,Alpera,Mujeres,1091,02,Albacete,08,Castilla-La Mancha,No
02011,Ayna,Total,591,02,Albacete,08,Castilla-La Mancha,No
02011,Ayna,Hombres,311,02,Albacete,08,Castilla-La Mancha,No
02011,Ayna,Mujeres,280,02,Albacete,08,Castilla-La Mancha,No
02012,Balazote,Total,2327,02,Albacete,08,Castilla-La Mancha,No
02012,Balazote,Hombres,1187,02,Albacete,08,Castilla-La Mancha,No
02012,Balazote,Mujeres,1140,02,Albacete,08,Castilla-La Mancha,No
02014,"Ballestero, El",Total,396,02,Albacete,08,Castilla-La Mancha,No
02014,"Ballestero, El",Hombres,203,02,Albacete,08,Castilla-La Mancha,No
02014,"Ballestero, El",Mujeres,193,02,Albacete,08,Castilla-La Mancha,No
02013,Balsa de Ves,Total,131,02,Albacete,08,Castilla-La Mancha,No
02013,Balsa de Ves,Hombres,77,02,Albacete,08,Castilla-La Mancha,No
02013,Balsa de Ves,Mujeres,54,02,Albacete,08,Castilla-La Mancha,No
02015,Barrax,Total,1799,02,Albacete,08,Castilla-La Mancha,No
02015,Barrax,Hombres,923,02,Albacete,08,Castilla-La Mancha,No
02015,Barrax,Mujeres,876,02,Albacete,08,Castilla-La Mancha,No
02016,Bienservida,Total,579,02,Albacete,08,Castilla-La Mancha,No
